id;url;nama
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel15ALanjut;Tabel15ALanjut
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel15B;Tabel15B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel15C;Tabel15C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel16;Tabel16
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel17;Tabel17
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel18;Tabel18
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel19;Tabel19
kbs;https://newsiga-siga.bkkbn.go.id/#/krsDetail/STUNTING/Tabel3;Tabel3
;https://newsiga-siga.bkkbn.go.id/#/krsDetail/STUNTING/Tabel4;Tabel4
;https://newsiga-siga.bkkbn.go.id/#/krsDetail/STUNTING/Tabel5;Tabel5
elsimil;https://newsiga-siga.bkkbn.go.id/#/catinDetail/Catin-Tahunan/Tabel1;Tabel1 Catin
;https://newsiga-siga.bkkbn.go.id/#/catinDetail/Catin-Tahunan/Tabel2;Tabel2 Catin
;https://newsiga-siga.bkkbn.go.id/#/catinDetail/Catin-Tahunan/Tabel3;Tabel3 Catin
;https://newsiga-siga.bkkbn.go.id/#/catinDetail/Catin-Tahunan/Tabel4;Tabel4 Catin
;https://newsiga-siga.bkkbn.go.id/#/bumilDetail/Bumil-Tahunan/Tabel1;Tabel1 Bumil
;https://newsiga-siga.bkkbn.go.id/#/bumilDetail/Bumil-Tahunan/Tabel2;Tabel2 Bumil
;https://newsiga-siga.bkkbn.go.id/#/bumilDetail/Bumil-Tahunan/Tabel3;Tabel3 Bumil
;https://newsiga-siga.bkkbn.go.id/#/pascaDetail/Pascasalin-Tahunan/Tabel1;Tabel1 Pascasalin
;https://newsiga-siga.bkkbn.go.id/#/pascaDetail/Pascasalin-Tahunan/Tabel2;Tabel2 Pascasalin
;https://newsiga-siga.bkkbn.go.id/#/pascaDetail/Pascasalin-Tahunan/Tabel3;Tabel3 Pascasalin
;https://newsiga-siga.bkkbn.go.id/#/badutaDetail/Baduta-Tahunan/Tabel1;Tabel1 Baduta
;https://newsiga-siga.bkkbn.go.id/#/badutaDetail/Baduta-Tahunan/Tabel2;Tabel2 Baduta
;https://newsiga-siga.bkkbn.go.id/#/badutaDetail/Baduta-Tahunan/Tabel3;Tabel3 Baduta
;https://newsiga-siga.bkkbn.go.id/#/badutaDetail/Baduta-Tahunan/Tabel4;Tabel4 Baduta
;https://newsiga-siga.bkkbn.go.id/#/badutaDetail/Baduta-Tahunan/Tabel5;Tabel5 Baduta
monitoring-krs;https://newsiga-siga.bkkbn.go.id/#/monitoring-krs;monitoring-krs
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
